track_name,release_year,popularity,energy,danceability,valence,tempo,artist_name
Obras De Poetas (Os Passarinhos),1982,28,0.717,0.393,0.744,166.015,Chitãozinho & Xororó
"Haydn: String Quartet No. 23 in F Minor, Op. 20 No. 5, Hob. III, 35: IV. Finale (Fuga a due soggetti)",1935,0,0.183,0.547,0.266,132.145,Franz Joseph Haydn
The Dam At Otter Creek,1994,42,0.603,0.271,0.187,139.857,Live
Smile Flower,2016,57,0.368,0.567,0.364,143.93,SEVENTEEN
9 Yıl Öncesine Mektup,2015,46,0.672,0.362,0.231,111.886,Şanışer
"The Art of the Fugue, BWV 1080: Contrapunctus VIII - Remastered",1962,11,0.251,0.383,0.582,79.732,Johann Sebastian Bach
He's so Shy,1989,24,0.788,0.856,0.97,114.922,The Pointer Sisters
Ay Amor,2007,38,0.591,0.886,0.961,134.972,Zacarias Ferreira
Misty Mountain Hop - Alternate Mix,1971,53,0.892,0.488,0.675,132.554,Led Zeppelin
ます。,2006,44,0.951,0.409,0.697,173.832,RADWIMPS
Short Hair,2014,46,0.883,0.743,0.881,109.979,AOA
Doing All Right,1973,36,0.32,0.316,0.294,74.163,Queen
Patota de Cosme,1987,28,0.92,0.716,0.879,131.326,Zeca Pagodinho
Who...,2001,24,0.681,0.54,0.335,163.832,Ayumi Hamasaki
Ohne mein Team,2016,69,0.8,0.766,0.635,129.999,Bonez MC
Ortega Y Gases,2003,17,0.582,0.699,0.851,164.608,Divididos
Bombe Bombe,1993,22,0.52,0.799,0.653,146.715,S. P. Balasubrahmanyam
Trem-Bala,2017,64,0.318,0.45,0.492,93.344,Ana Vilela
Fue Por Mi,2012,52,0.738,0.506,0.583,167.881,Jesús Adrián Romero
Amanhã,2007,46,0.746,0.62,0.763,140.038,Sorriso Maroto
Emerald,1976,28,0.871,0.306,0.25,122.038,Thin Lizzy
Sogasu Choodu Hayi Hayile,1996,18,0.556,0.677,0.624,153.041,S. P. Balasubrahmanyam
Amanecí en Tus Brazos,1959,11,0.21,0.497,0.28,80.413,Javier Solís
Jhidkaruni Tu Jasi Rage,1953,0,0.146,0.437,0.507,76.438,Lata Mangeshkar
Volta,1973,27,0.104,0.492,0.223,109.076,Gal Costa
Till The Next Goodbye - Remastered,1974,31,0.576,0.473,0.518,138.344,The Rolling Stones
Juke Box Hero,1982,29,0.584,0.354,0.521,177.011,Foreigner
Are You With Me - Radio Edit,2016,51,0.527,0.779,0.439,121.03,Lost Frequencies
Please Don't Stop The Rain,2008,51,0.819,0.5,0.679,160.125,James Morrison
The Same Deep Water as You - 2010 Remaster,1989,36,0.805,0.325,0.174,199.891,The Cure
La ballata del Miché,2005,43,0.311,0.433,0.615,90.365,Fabrizio De André
I Will Survive - Remix,1997,23,0.768,0.724,0.757,117.402,Gloria Gaynor
How We Do (Party),2012,54,0.922,0.738,0.689,116.024,Rita Ora
Bigote Mojado,1993,38,0.599,0.83,0.795,94.953,Joan Sebastian
Running To Stand Still,1987,11,0.199,0.537,0.229,94.634,U2
1999,2018,64,0.742,0.739,0.659,124.016,Charli XCX
Roll On Down The Highway,1974,52,0.823,0.475,0.881,138.981,Bachman-Turner Overdrive
Siva - Remastered 2011,1991,42,0.728,0.383,0.261,109.299,The Smashing Pumpkins
Yalnızlık Senfonisi,1996,43,0.482,0.207,0.162,76.295,Sezen Aksu
Ogre Battle,1974,14,0.721,0.254,0.319,108.746,Queen
Look for Me (with June Carter Cash),1971,25,0.348,0.397,0.75,201.799,Johnny Cash
